identifier	dna_number	gene_name	forward_primers	reverse_primers
SEQID00001036	1602	WG	WG578F, 5WGB	B3WG2, WGABR
SEQID00000332	0814	COI	JERRY, JER, B1490	B2232, PAT, PAT
SEQID00004659	1959	COI	LC1490, LC1490	HC2198, HC2198
SEQID00002488	2030	WG	WG578F	WGABR
SEQID00006230	1661	WG	WG578F, WGYF	WGABR, WGABR
SEQID00000738	0466	28S	D1, NLF184	D3AR, D33-
SEQID00006296	0473	28S	D1, D1, D1	D33-, D3MOD, D33-
SEQID00002037	1629	28S	D1	D3
SEQID00005882	3570	28S	D1	D3
SEQID00006100	1420	CAD	806F	1098R
SEQID00000872	1417	TOPO	TP675F	TP932R
SEQID00001098	2489	WG	WG550F	WGABRZ
SEQID00006603	3060	TOPO	TP643F	TP932R
SEQID00005143	2145	ARGK	AK183F	AK933R
SEQID00000186	1342	CAD	CD821F	C1098R
SEQID00000772	2236	TOPO	TP675F	TP932R
SEQID00002243	2192	ARGK	AK270F	AK950R
SEQID00001812	1653	WG	WGYF	WGABR
SEQID00003848	2031	28S	D1	D3
SEQID00002925	2397	18S	18SBI, 518S, 760F, 18SAI	909R, 18L
SEQID00000857	1632	28S	D1	D3
SEQID00004968	2092	CAD	CD806F	1098R2
SEQID00002806	1253	28S	D1	D3
SEQID00002155	2421	ARGK	AK183F	AK933R
SEQID00000250	2759	MSP	MSP2F	MSP1R
SEQID00001482	1959	ARGK	AK270F	AK950R
SEQID00001274	0130	18S		
SEQID00003653	4393	CAD	CD806F, CD439F	CD668R, C1098R2
SEQID00001360	2011	28S	D1	D3
SEQID00003676	0994	WG		WG2, WGB
SEQID00002895	1415	CAD	806F	1098R
SEQID00003287	0873	WG	WG578F	WGABR
SEQID00000787	1711	18S	18SAI, 18SBI, 760F, 518S	909R, 18L
SEQID00003309	0433	18S		
SEQID00004896	2086	COI	B1490	BCOI2R
SEQID00003291	0973	WG		WGB, WG2
SEQID00003645	1414	28S	D1, D1	D33, D3
SEQID00000728	2157	POL2	PL859F	P1097R
SEQID00005820	2103	28S	D1	D3
SEQID00002195	0839	COI	B1490	BCOI2R
SEQID00000460	1398	28S	D1	D33
SEQID00000188	0415	18S		
SEQID00005729	2041	TOPO	TP675F	TP932R
